Brand,Full Model,Model,Price,Manufacturer,Phone Url
One Plus,One Plus 12R 5G 16GB RAM/256GB,12R,33800,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-12r-5g-16gb-ram256gb
One Plus,One Plus 12 5G 12GB RAM/256GB,12,38700,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-12-5g-12gb-ram256gb
One Plus,One Plus 12 5G 16GB RAM/512GB,12,43000,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-12-5g-16gb-ram512gb
Xiaomi,Xiaomi 14T Pro 12/512GB,14T Pro,35600,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-14t-pro-12512gb
Xiaomi,Xiaomi 14 Ultra 16/512GB,14 Ultra,55300,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-14-ultra-16512gb
Xiaomi,Xiaomi 14T 12/512GB,14T,27700,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-14t-12512gb
Xiaomi,Xiaomi 14 12/512GB,14,44900,Mobelix,https://mobelix.com.mk/mk/proizvodi/xiaomi-14-12512gb
Samsung,Galaxy A05 4/64GB,Galaxy A05,6800,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a05-464gb
Samsung,Galaxy A05s 4/128GB,Galaxy A05s,8000,Mobelix,https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-a05s-4128gb
Blackberry,Porsche Design P9981,Porsche Design P9981,19000,Mobelix,https://mobelix.com.mk/mk/proizvodi/blackberry-porsche-design-p9981
Apple,iPhone 13 128GB,iPhone 13,32000,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-13-128gb
Apple,iPhone 15 Pro Max 256GB,iPhone 15 Pro Max,61500,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-pro-max-256gb
Apple,iPhone 16 Pro Max 512GB,iPhone 16 Pro Max,89200,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-pro-max-512gb
Apple,iPhone 14 128GB,iPhone 14,37500,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-14-128gb
Apple,iPhone 16 Pro 256GB,iPhone 16 Pro,70700,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-pro-256gb
Apple,iPhone 15 Pro 128GB Нови - Без кутија,iPhone 15 Pro,50400,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-pro-128gb-2
Apple,iPhone 15 256GB,iPhone 15,52200,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-256gb
Apple,iPhone 15 128GB,iPhone 15,40000,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-128gb
Apple,iPhone 15 256GB,iPhone 15,52200,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-256gb
Apple,iPhone 15 128GB Нови - Без кутија,iPhone 15,38700,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-128gb-3
Apple,iPhone 15 Pro 128GB Нови - Без кутија,iPhone 15 Pro,50400,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-pro-128gb-2
Apple,iPhone 15 Pro Max 512GB,iPhone 15 Pro Max,75000,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-pro-max-512gb
Apple,iPhone 15 Pro Max E-Sim 256GB,iPhone 15 Pro Max,64500,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-pro-max-e-sim-256gb
Apple,iPhone 15 Plus 256GB,iPhone 15 Plus,57800,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-plus-256gb
Apple,iPhone 16 128GB,iPhone 16,48000,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-128gb
Apple,iPhone 16 Plus 128GB,iPhone 16 Plus,56700,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-plus-128gb
Apple,iPhone 16 Pro 128GB,iPhone 16 Pro,64600,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-pro-128gb
Apple,iPhone 15 128GB,iPhone 15,40000,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-128gb
Apple,iPhone 16 256GB,iPhone 16,55300,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-256gb
Apple,iPhone 15 Pro Max 256GB,iPhone 15 Pro Max,61500,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-15-pro-max-256gb
Apple,iPhone 16 Pro 256GB,iPhone 16 Pro,70700,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-pro-256gb
Apple,iPhone 14 128GB,iPhone 14,37500,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-14-128gb
Apple,iPhone 16 Pro Max 512GB,iPhone 16 Pro Max,89200,Mobelix,https://mobelix.com.mk/mk/proizvodi/apple-iphone-16-pro-max-512gb
Huawei,P40 lite E,P40 lite E,9200,Mobelix,https://mobelix.com.mk/mk/proizvodi/huawei-p40-lite-e
Huawei,Huawei P60 Pro,P60 Pro,40000,Mobelix,https://mobelix.com.mk/mk/proizvodi/huawei-p60-pro
Huawei,Huawei Pura 70 Ultra 16/512GB,Pura 70 Ultra,64600,Mobelix,https://mobelix.com.mk/mk/proizvodi/huawei-pura-70-ultra-16512gb
One Plus,7T 8GB/256GB,7T,24600,Mobelix,https://mobelix.com.mk/mk/proizvodi/one-plus-7t-8gb256gb
Honor,View 20,View 20,36800,Mobelix,https://mobelix.com.mk/mk/proizvodi/honor-view-20
Nokia,6310,6310,5000,Mobelix,https://mobelix.com.mk/mk/proizvodi/nokia-6310
